AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,LocationID,BankName,BankFDICNumber,BankNCUANumber,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFY,FirstDisbursementDate,ProcessingMethod,Subprogram,InitialInterestRate,FixedorVariableInterestRate,TerminMonths,NAICSCode,NAICSDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidinFullDate,ChargeoffDate,GrossChargeoffAmount,RevolverStatus,JobsSupported,CollateralInd,SoldSecondMarketInd
9/30/2025, 7A,BAGELBREAK INC.,254 CHURCH ST.,PEMBROKE,MA,2359,33263,Rockland Trust Company,9712.0,,288 Union St,ROCKLAND,MA,2370,100000.0,80000.0,12/9/1998,1999,6/30/1999,Low Documentation Program,Guaranty,,,84,722110.0,Full-Service Restaurants,,,PLYMOUTH,MA,MASSACHUSETTS DISTRICT OFFICE ,9.0,CORPORATION,,PIF,5/31/2005,,0.0,0,0,,
9/30/2025, 7A,ARELL SERVICE CO. INC.,9718 PULASKI HWY,BALTIMORE,MD,21220,46391,Manufacturers and Traders Trust Company,588.0,,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,150000.0,112500.0,9/10/1997,1997,9/30/1997,Preferred Lenders Program,Guaranty,,,24,421830.0,Industrial Machinery and Equipment Wholesalers,,,BALTIMORE,MD,BALTIMORE DISTRICT OFFICE ,2.0,CORPORATION,,CHGOFF,,11/22/2000,122500.0,0,0,Y,Y
9/30/2025, 7A,ADVANCED CONNECTIONS AND SYSTE,48 BLEACHER RD,ROCHESTER,NY,14609,48270,"JPMorgan Chase Bank, National Association",628.0,,1111 Polaris Pkwy,Columbus,OH,43240,75000.0,37500.0,3/13/1998,1998,4/30/1999,SBA Express Program,FA$TRK (Small Loan Express),,,36,,,,,MONROE,NY,ROCHESTER BRANCH OFFICE ,25.0,CORPORATION,,PIF,7/31/2005,,0.0,0,0,,
9/30/2025, 7A,NEEDHAM GRAPHICS INC.,633 HIGHLAND AVENUE,NEEDHAM,MA,2194,9551,"Bank of America, National Association",3510.0,,100 North Tryon Street,Charlotte,NC,28255,30000.0,15000.0,9/30/1996,1996,7/31/1997,SBA Express Program,FA$TRK (Small Loan Express),,,12,541430.0,Graphic Design Services,,,NORFOLK,MA,MASSACHUSETTS DISTRICT OFFICE ,4.0,CORPORATION,,PIF,7/31/2005,,0.0,0,0,,
9/30/2025, 7A,CASEY CARPET OF LAS CRUCES INC,920 S. VALLEY DR.,LAS CRUSES,NM,88005,26378,Sunflower Bank National Association,4767.0,,"8117 Preston Rd, Ste 220",Dallas,TX,75225,130000.0,97500.0,3/3/1998,1998,5/31/1998,Preferred Lenders Program,Guaranty,,,84,442210.0,Floor Covering Stores,10726,CARPETMAX,DONA ANA,NM,NEW MEXICO DISTRICT OFFICE ,2.0,CORPORATION,,PIF,5/31/2005,,0.0,0,0,,
9/30/2025, 7A,MICROPLAY (DBA JENKINS & TOMSI,3401 ALTA MESA STE 164,FORT WORTH,TX,76133,188665,"First Western SBLC, Inc",,,"5956 Sherry Ln., Suite 700",DALLAS,TX,75225,80000.0,72000.0,1/4/1995,1995,4/30/1995,Certified Lenders Program,Guaranty,,,84,,,53151,MICRO-PLAY OF AMERICA         ,TARRANT,TX,DALLAS / FT WORTH DISTRICT OFFICE ,6.0,CORPORATION,,PIF,7/31/2005,,0.0,0,0,,Y
9/30/2025, 7A,HUMBLE ROBERT L. DDS,"9522 OAK BAY RD, NO. 400",PORT LUDLOW,WA,98365,9551,"Bank of America, National Association",3510.0,,100 North Tryon Street,Charlotte,NC,28255,160000.0,136000.0,7/24/1995,1995,4/30/1996,Certified Lenders Program,Guaranty,,,96,621210.0,Offices of Dentists,,,JEFFERSON,WA,SEATTLE DISTRICT OFFICE ,6.0,INDIVIDUAL,,PIF,7/31/2005,,0.0,0,0,,
9/30/2025, 7A,PRO LOGIC COMPUTER SYSTEMS INC,8100 OAK LN,HIALEAH,FL,33016,406094,"NATIONSBANK, NATIONAL",,,100 S CHARLES ST,BALTIMORE,MD,21201,100000.0,50000.0,9/11/1998,1998,2/28/1999,SBA Express Program,FA$TRK (Small Loan Express),,,12,,,,,MIAMI-DADE,FL,SOUTH FLORIDA DISTRICT OFFICE ,25.0,CORPORATION,,PIF,7/31/2005,,0.0,0,0,,
9/30/2025, 7A,CYCLE RECYCLE CO.,322 W. MAIN STREET,WAYNESBORO,VA,22980,73259,United Bank,22858.0,,11185 Fairfax Blvd,FAIRFAX,VA,22030,75000.0,67500.0,11/18/1993,1994,12/21/1993,7a General,Guaranty,,,120,451110.0,Sporting Goods Stores,,,WAYNESBORO CITY,VA,RICHMOND DISTRICT OFFICE ,6.0,INDIVIDUAL,,PIF,7/31/2005,,0.0,0,0,,
9/30/2025, 7A,RICKS BAR AND BOWL,16107 MAIN STREET,RUDOLPH,WI,54495,21442,BMO Bank National Association,16571.0,,320 S Canal St,Chicago,IL,60606,98000.0,78400.0,5/11/1998,1998,7/31/1998,Low Documentation Program,Guaranty,,,240,722410.0,Drinking Places (Alcoholic Beverages),,,WOOD,WI,WISCONSIN DISTRICT OFFICE ,3.0,INDIVIDUAL,,PIF,4/30/2013,,0.0,0,0,N,Y
