AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,LocationID,BankName,BankFDICNumber,BankNCUANumber,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFY,FirstDisbursementDate,ProcessingMethod,Subprogram,InitialInterestRate,FixedorVariableInterestRate,TerminMonths,NAICSCode,NAICSDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidinFullDate,ChargeoffDate,GrossChargeoffAmount,RevolverStatus,JobsSupported,CollateralInd,SoldSecondMarketInd
2025-09-30, 7A,HAM SPORTS LLC,7675 EL CERRO DR,BUENA PARK,CA,90620,53803.0,"U.S. Bank, National Association",6548.0,,425 Walnut St,CINCINNATI,OH,45202.0,50000.0,25000.0,05/04/2023,2023,,SBA Express Program,FA$TRK (Small Loan Express),8.49,F,60,713940,Fitness and Recreational Sports Centers,,,ORANGE,CA,SANTA ANA DISTRICT OFFICE ,38.0,CORPORATION,New Business or 2 years or less,CANCLD,,,0.0,0,2.0,Y,
2025-09-30, 7A,Elyte Tool LLC,8273 116th St,Clear Lake,MN,55319,38878.0,Sherburne State Bank,10169.0,,12500 Sherburne Ave,BECKER,MN,55308.0,509100.0,381825.0,08/28/2025,2025,08/29/2025,7a General,Guaranty,8.95,F,120,425120,Wholesale Trade Agents and Brokers,,,SHERBURNE,MN,MINNESOTA DISTRICT OFFICE ,6.0,CORPORATION,Change of Ownership,EXEMPT,,,0.0,0,7.0,Y,
2025-09-30, 7A,Park Physical Therapy PLLC,6805 MAIN ST,FLUSHING,NY,11367,188904.0,FinWise Bank,35323.0,,756 E Winchester St.,SANDY,UT,84107.0,900000.0,675000.0,02/08/2022,2022,03/15/2022,7a General,Guaranty,5.5,V,300,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",,,QUEENS,NY,NEW YORK DISTRICT OFFICE ,6.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,10.0,Y,Y
2025-09-30, 7A,Laoch Enterprises LLC,4050 Premier Drive,Plano,TX,75023,59294.0,"SNB Bank, National Association",4196.0,,503 S Main,SHATTUCK,OK,73858.0,722400.0,541800.0,07/26/2022,2022,08/03/2022,7a General,Guaranty,7.5,V,120,441330,,S0974,LINE-X,COLLIN,TX,DALLAS / FT WORTH DISTRICT OFFICE ,3.0,CORPORATION,"Startup, Loan Funds will Open Business",EXEMPT,,,0.0,0,6.0,Y,Y
2025-09-30, 7A,Engenuity Systems Inc.,2165 W. Pecos Road,Chandler,AZ,85224,21442.0,BMO Bank National Association,16571.0,,320 S Canal St,Chicago,IL,60606.0,843200.0,632400.0,11/04/2019,2020,11/30/2019,Preferred Lenders Program,Guaranty,5.75,V,119,541519,Other Computer Related Services,,,MARICOPA,AZ,ARIZONA DISTRICT OFFICE ,5.0,CORPORATION,Existing or more than 2 years old,PIF,05/31/2021,,0.0,0,11.0,Y,
2025-09-30, 7A,Neat-N-Clean Portables LLC,9621 Newton Rd,NEWTON,WI,53063,53803.0,"U.S. Bank, National Association",6548.0,,425 Walnut St,CINCINNATI,OH,45202.0,299000.0,224250.0,06/16/2023,2023,06/26/2023,Preferred Lenders Program,Guaranty,9.57,F,120,562991,Septic Tank and Related Services,,,MANITOWOC,WI,WISCONSIN DISTRICT OFFICE ,6.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,5.0,Y,
2025-09-30, 7A,Evergreen and Oak LLC,1025 NW Pautsky Ave,Bentonville,AR,72713,4282.0,Arvest Bank,8728.0,,75 N East Ave,FAYETTEVILLE,AR,72701.0,719100.0,647190.0,04/29/2021,2021,04/30/2021,Preferred Lenders Program,Guaranty,4.5,V,240,721214,Recreational and Vacation Camps (except Campgrounds),,,BENTON,AR,ARKANSAS DISTRICT OFFICE ,3.0,CORPORATION,"Startup, Loan Funds will Open Business",PIF,02/29/2024,,0.0,0,4.0,Y,
2025-09-30, 7A,With Love Gina Marie LLC,7811 Taunton Rd,Indianapolis,IN,46260,96759.0,Everwise Credit Union,,60060.0,110 S Main St,SOUTH BEND,IN,46601.0,140200.0,119170.0,03/06/2024,2024,05/14/2024,7a General,Guaranty,11.25,V,120,722515,Snack and Nonalcoholic Beverage Bars,,,MARION,IN,INDIANA DISTRICT OFFICE ,5.0,INDIVIDUAL,"Startup, Loan Funds will Open Business",EXEMPT,,,0.0,0,6.0,Y,
2025-09-30, 7A,One stop plus LLC,1317 Edgewater Dr,ORLANDO,FL,32804,317954.0,"Newtek Small Business Finance, Inc.",,,1981 Marcus Avenue,LAKE SUCCESS,NY,11042.0,20000.0,10000.0,03/20/2023,2023,03/31/2023,SBA Express Program,FA$TRK (Small Loan Express),14.25,V,93,455110,,,,ORANGE,FL,NORTH FLORIDA DISTRICT OFFICE ,7.0,CORPORATION,New Business or 2 years or less,EXEMPT,,,0.0,0,4.0,Y,Y
2025-09-30, 7A,Fasterlines,701 S BICKETT BLVD,LOUISBURG,NC,27549,117723.0,"SouthState Bank, National Association",33555.0,,1101 First St South,WINTER HAVEN,FL,33880.0,480000.0,360000.0,05/30/2024,2024,06/03/2024,Preferred Lenders Program,Guaranty,11.25,V,120,513210,Cable Networks,,,FRANKLIN,NC,NORTH CAROLINA DISTRICT OFFICE ,4.0,CORPORATION,Existing or more than 2 years old,EXEMPT,,,0.0,0,1.0,N,Y
